service_id,route_id,trip_id,direction_id,trip_headsign,block_id,shape_id
WK,BLUE,WK_157409,1,Nagole,WK_31701,BLUE2
WK,BLUE,WK_157411,1,Nagole,WK_30901,BLUE2
WK,BLUE,WK_157413,1,Nagole,WK_31001,BLUE2
WK,BLUE,WK_157415,1,Nagole,WK_31801,BLUE2
WK,BLUE,WK_157420,1,Nagole,WK_30101,BLUE2
WK,BLUE,WK_157424,1,Nagole,WK_31901,BLUE2
WK,BLUE,WK_157428,0,Raidurg,WK_31201,BLUE1
WK,BLUE,WK_157430,0,Raidurg,WK_31901,BLUE1
WK,BLUE,WK_157432,0,Raidurg,WK_30101,BLUE1
WK,BLUE,WK_157434,1,Nagole,WK_31201,BLUE2
WK,BLUE,WK_157437,1,Nagole,WK_30201,BLUE2
WK,BLUE,WK_157441,1,Nagole,WK_30401,BLUE2
WK,BLUE,WK_157443,1,Nagole,WK_30501,BLUE2
WK,BLUE,WK_157445,1,Nagole,WK_31401,BLUE2
WK,BLUE,WK_157451,0,Raidurg,WK_30201,BLUE1
WK,BLUE,WK_157453,1,Nagole,WK_30601,BLUE2
WK,BLUE,WK_157455,1,Nagole,WK_30701,BLUE2
WK,BLUE,WK_158627,1,Nagole,WK_35501,BLUE2
WK,BLUE,WK_158629,1,Nagole,WK_37101,BLUE2
WK,BLUE,WK_158631,1,Nagole,WK_31601,BLUE2
WK,BLUE,WK_158632,0,Raidurg,WK_30801,BLUE1
WK,BLUE,WK_158633,1,Nagole,WK_30801,BLUE2
WK,BLUE,WK_158634,0,Raidurg,WK_34801,BLUE1
WK,BLUE,WK_158635,1,Nagole,WK_34801,BLUE2
WK,BLUE,WK_158636,0,Raidurg,WK_31001,BLUE1
WK,BLUE,WK_158637,1,Nagole,WK_31001,BLUE2
WK,BLUE,WK_158638,0,Raidurg,WK_34901,BLUE1
WK,BLUE,WK_158639,1,Nagole,WK_34901,BLUE2
WK,BLUE,WK_158641,1,Nagole,WK_30101,BLUE2
WK,BLUE,WK_158642,0,Raidurg,WK_31201,BLUE1
WK,BLUE,WK_158643,1,Nagole,WK_31201,BLUE2
WK,BLUE,WK_158644,0,Raidurg,WK_30201,BLUE1
WK,BLUE,WK_158645,1,Nagole,WK_30201,BLUE2
WK,BLUE,WK_158646,0,Raidurg,WK_31301,BLUE1
WK,BLUE,WK_158647,1,Nagole,WK_31301,BLUE2
WK,BLUE,WK_158648,0,Raidurg,WK_32101,BLUE1
WK,BLUE,WK_158649,1,Nagole,WK_32101,BLUE2
WK,BLUE,WK_158650,0,Raidurg,WK_30501,BLUE1
WK,BLUE,WK_158652,0,Raidurg,WK_35501,BLUE1
WK,BLUE,WK_158653,1,Nagole,WK_35501,BLUE2
WK,BLUE,WK_158654,0,Raidurg,WK_37101,BLUE1
WK,BLUE,WK_158893,1,Nagole,WK_30601,BLUE2
WK,BLUE,WK_158895,1,Nagole,WK_30701,BLUE2
WK,BLUE,WK_158897,1,Nagole,WK_34701,BLUE2
WK,BLUE,WK_158898,0,Raidurg,WK_31701,BLUE1
WK,BLUE,WK_158899,1,Nagole,WK_31701,BLUE2
WK,BLUE,WK_158900,0,Raidurg,WK_30901,BLUE1
WK,BLUE,WK_158901,1,Nagole,WK_30901,BLUE2
WK,BLUE,WK_158902,0,Raidurg,WK_31801,BLUE1
WK,BLUE,WK_158904,0,Raidurg,WK_40701,BLUE1
WK,BLUE,WK_158905,1,Nagole,WK_40701,BLUE2
WK,BLUE,WK_158906,0,Raidurg,WK_31901,BLUE1
WK,BLUE,WK_158907,1,Nagole,WK_31901,BLUE2
WK,BLUE,WK_158908,0,Raidurg,WK_35001,BLUE1
WK,BLUE,WK_158909,1,Nagole,WK_35001,BLUE2
WK,BLUE,WK_158910,0,Raidurg,WK_30301,BLUE1
WK,BLUE,WK_158911,1,Nagole,WK_30301,BLUE2
WK,BLUE,WK_158912,0,Raidurg,WK_35101,BLUE1
WK,BLUE,WK_158913,1,Nagole,WK_35101,BLUE2
WK,BLUE,WK_158914,0,Raidurg,WK_30401,BLUE1
WK,BLUE,WK_158916,0,Raidurg,WK_31401,BLUE1
WK,BLUE,WK_158917,1,Nagole,WK_31401,BLUE2
WK,BLUE,WK_158918,0,Raidurg,WK_30601,BLUE1
WK,BLUE,WK_159072,0,Raidurg,WK_30701,BLUE1
WK,BLUE,WK_159074,0,Raidurg,WK_34701,BLUE1
WK,BLUE,WK_159076,0,Raidurg,WK_31701,BLUE1
WK,BLUE,WK_159078,0,Raidurg,WK_30901,BLUE1
WK,BLUE,WK_159080,0,Raidurg,WK_34901,BLUE1
WK,BLUE,WK_159082,0,Raidurg,WK_30101,BLUE1
WK,BLUE,WK_159084,0,Raidurg,WK_31201,BLUE1
WK,BLUE,WK_159086,0,Raidurg,WK_30201,BLUE1
WK,BLUE,WK_159088,0,Raidurg,WK_31301,BLUE1
WK,BLUE,WK_159090,0,Raidurg,WK_32101,BLUE1
WK,BLUE,WK_159092,0,Raidurg,WK_31401,BLUE1
WK,BLUE,WK_159094,0,Raidurg,WK_31601,BLUE1
WK,BLUE,WK_159096,0,Raidurg,WK_30801,BLUE1
WK,BLUE,WK_159098,0,Raidurg,WK_34801,BLUE1
WK,BLUE,WK_159100,0,Raidurg,WK_31001,BLUE1
WK,BLUE,WK_159102,0,Raidurg,WK_40701,BLUE1
WK,BLUE,WK_159104,0,Raidurg,WK_31901,BLUE1
WK,BLUE,WK_159106,0,Raidurg,WK_35001,BLUE1
WK,BLUE,WK_159108,0,Raidurg,WK_30301,BLUE1
WK,BLUE,WK_159110,0,Raidurg,WK_35101,BLUE1
WK,BLUE,WK_159112,0,Raidurg,WK_30501,BLUE1
WK,BLUE,WK_159114,0,HITEC City,WK_35501,BLUE1
WK,BLUE,WK_159125,1,Nagole,WK_37101,BLUE2
WK,BLUE,WK_159135,1,Nagole,WK_30601,BLUE2
WK,BLUE,WK_159139,1,Nagole,WK_30701,BLUE2
WK,BLUE,WK_159141,1,Nagole,WK_31601,BLUE2
WK,BLUE,WK_159143,1,Nagole,WK_34701,BLUE2
WK,BLUE,WK_159145,1,Nagole,WK_30801,BLUE2
